id,title,subtitle,author,coauthor,isbn,publisher,place of publisher,edition,accession no,book no,class no,call no
1,Introduction to Algorithms,Comprehensive Algorithms,Cormen,Leiserson,9.78026E+12,MIT Press,Cambridge,3rd,12345,1,5.1,ALGO-CLRS
2,Artificial Intelligence,A Modern Approach,Stuart Russell,Peter Norvig,9.78014E+12,Pearson,London,3rd,12346,2,6.3,AI-RUS
3,Computer Networks,A Systems Approach,Larry Peterson,Bruce Davie,9.78012E+12,Morgan Kaufmann,California,5th,12347,3,4.6,CN-PET
4,Operating System Concepts,Core Concepts and Design,Abraham Silberschatz,Peter Galvin,9.78112E+12,Wiley,New York,10th,12348,4,5.43,OS-SIL
5,Database Management Systems,Theory and Design,Raghu Ramakrishnan,Johannes Gehrke,9.78007E+12,McGraw Hill,New York,3rd,12349,5,5.74,DBMS-RAM
6,Clean Code,A Handbook of Software Craftsmanship,Robert C. Martin,-,9.78013E+12,Prentice Hall,London,1st,12350,6,5.1,CC-MAR
7,The Pragmatic Programmer,Your Journey to Mastery,Andrew Hunt,David Thomas,9.78014E+12,Addison-Wesley,Boston,2nd,12351,7,5.1,PP-HUN
8,You Don't Know JS,Scope and Closures,Kyle Simpson,-,9.78149E+12,O'Reilly,California,1st,12352,8,5.13,JS-SIM
9,The C Programming Language,ANSI C,Brian W. Kernighan,Dennis Ritchie,9.78013E+12,Prentice Hall,Boston,2nd,12353,9,5.13,C-KER
10,Learning Python,Powerful Object-Oriented Programming,Mark Lutz,-,9.78145E+12,O'Reilly,California,5th,12354,10,5.13,PY-LUT
11,Java: The Complete Reference,Mastering Java,Herbert Schildt,-,9.78126E+12,McGraw Hill,New York,11th,12355,11,5.13,JAVA-SCH
12,Head First Design Patterns,Brain-Friendly Guide,Eric Freeman,Elisabeth Robson,9.7806E+12,O'Reilly,California,1st,12356,12,5.1,HFDP-FRE
13,Computer Organization,Architecture and Design,Carl Hamacher,Zvonko Vranesic,9.78007E+12,McGraw Hill,London,5th,12357,13,4.22,CO-HAM
14,Effective Java,Programming Best Practices,Joshua Bloch,-,9.78013E+12,Addison-Wesley,Boston,3rd,12358,14,5.13,EJ-BLO
15,Python Crash Course,Hands-On Learning,Eric Matthes,-,9.78159E+12,No Starch Press,San Francisco,2nd,12359,15,5.13,PY-CRASH
16,Design Patterns,Elements of Reusable Software,Gamma,Helm,9.7802E+12,Addison-Wesley,London,1st,12360,16,5.12,DP-GAM
17,Algorithms,Fundamentals and Applications,Robert Sedgewick,Kevin Wayne,9.78032E+12,Addison-Wesley,California,4th,12361,17,5.1,ALG-SED
18,Artificial Intelligence,Principles and Techniques,Deepak Khemani,-,9.78111E+12,Cambridge University Press,Delhi,1st,12362,18,6.3,AI-KHE
19,Pro Git,Version Control and Workflow,Scott Chacon,Ben Straub,9.78148E+12,Apress,Berlin,2nd,12363,19,5.1,GIT-CHA
20,Code Complete,Software Construction Guide,Steve McConnell,-,9.78074E+12,Microsoft Press,Seattle,2nd,12364,20,5.1,CC-MCC
21,Unix Programming,Tools and Techniques,Rob Pike,Brian Kernighan,9.78014E+12,Prentice Hall,New York,1st,12365,21,5.43,UNIX-KER
22,Data Science from Scratch,First Principles in Python,Joel Grus,-,9.78149E+12,O'Reilly,California,2nd,12366,22,6.3,DS-GRU
23,Head First Python,Brain-Friendly Learning,Paul Barry,-,9.78149E+12,O'Reilly,California,2nd,12367,23,5.13,HF-PY
24,Deep Learning,Foundations and Methods,Ian Goodfellow,Yoshua Bengio,9.78026E+12,MIT Press,London,1st,12368,24,6.32,DL-GOO
25,Fluent Python,Clear and Effective Programming,Luciano Ramalho,-,9.78149E+12,O'Reilly,California,1st,12369,25,5.13,FLU-PY
26,Compilers,Principles and Techniques,Alfred Aho,Jeffrey Ullman,9.78032E+12,Pearson,New York,2nd,12370,26,5.45,COMP-AHO
27,Introduction to Machine Learning,Concepts and Techniques,Alpaydin,-,9.78026E+12,MIT Press,Boston,2nd,12371,27,6.3,ML-ALP
28,Mastering Regular Expressions,Text Matching Guide,Jeffrey Friedl,-,9.7806E+12,O'Reilly,California,3rd,12372,28,5.1,REG-FRI
29,The Art of Computer Programming,Fundamentals of Algorithms,Donald Knuth,-,9.7802E+12,Addison-Wesley,Boston,3rd,12373,29,5.1,TAOCP-KNU
30,Python for Data Analysis,Data Wrangling Tools,Wes McKinney,-,9.78149E+12,O'Reilly,California,2nd,12374,30,5.13,PDA-MCK
